scanlinePosition, scanline
0, 0.00027
0.0001002, 0.000278
0.000200401, 0.000268
0.000300601, 0.000258
0.000400802, 0.000266
0.000501002, 0.000256
0.000601202, 0.000248
0.000701403, 0.000248
0.000801603, 0.000226
0.000901804, 0.000226
0.001002, 0.000222
0.0011022, 0.000214
0.0012024, 0.000214
0.00130261, 0.00022
0.00140281, 0.000212
0.00150301, 0.000204
0.00160321, 0.000198
0.00170341, 0.000194
0.00180361, 0.000188
0.00190381, 0.000182
0.00200401, 0.00018
0.00210421, 0.000172
0.00220441, 0.00017
0.00230461, 0.00017
0.00240481, 0.000154
0.00250501, 0.00016
0.00260521, 0.00014
0.00270541, 0.000144
0.00280561, 0.000142
0.00290581, 0.000138
0.00300601, 0.00012
0.00310621, 0.000116
0.00320641, 0.000106
0.00330661, 0.000106
0.00340681, 9.6e-05
0.00350701, 8.6e-05
0.00360721, 8.8e-05
0.00370741, 8.6e-05
0.00380762, 8.2e-05
0.00390782, 7.8e-05
0.00400802, 7.4e-05
0.00410822, 6.4e-05
0.00420842, 6.4e-05
0.00430862, 5.8e-05
0.00440882, 5e-05
0.00450902, 4e-05
0.00460922, 2.8e-05
0.00470942, 2.4e-05
0.00480962, 1.4e-05
0.00490982, 6e-06
0.00501002, 8e-06
0.00511022, 4e-06
0.00521042, 6.82121e-13
0.00531062, 1.2e-05
0.00541082, 1.2e-05
0.00551102, 1.8e-05
0.00561122, 2.2e-05
0.00571142, 2.6e-05
0.00581162, 3.8e-05
0.00591182, 4e-05
0.00601202, 4.6e-05
0.00611222, 5.2e-05
0.00621242, 6.8e-05
0.00631263, 7.4e-05
0.00641283, 8.4e-05
0.00651303, 8e-05
0.00661323, 9.8e-05
0.00671343, 0.000104
0.00681363, 0.000108
0.00691383, 0.000112
0.00701403, 0.000106
0.00711423, 0.000122
0.00721443, 0.000124
0.00731463, 0.000126
0.00741483, 0.000126
0.00751503, 0.00014
0.00761523, 0.000146
0.00771543, 0.000152
0.00781563, 0.000158
0.00791583, 0.000166
0.00801603, 0.000174
0.00811623, 0.000184
0.00821643, 0.000198
0.00831663, 0.000206
0.00841683, 0.000216
0.00851703, 0.000222
0.00861723, 0.000224
0.00871743, 0.000222
0.00881764, 0.000228
0.00891784, 0.000234
0.00901804, 0.000242
0.00911824, 0.000242
0.00921844, 0.00025
0.00931864, 0.000254
0.00941884, 0.00027
0.00951904, 0.000274
0.00961924, 0.000286
0.00971944, 0.000292
0.00981964, 0.000304
0.00991984, 0.000302
0.01002, 0.00032
0.0101202, 0.000328
0.0102204, 0.000328
0.0103206, 0.000334
0.0104208, 0.000344
0.010521, 0.000352
0.0106212, 0.00036
0.0107214, 0.000366
0.0108216, 0.000364
0.0109218, 0.00037
0.011022, 0.000368
0.0111222, 0.000382
0.0112224, 0.000404
0.0113226, 0.000408
0.0114228, 0.000418
0.011523, 0.000422
0.0116232, 0.000426
0.0117234, 0.000444
0.0118236, 0.000444
0.0119238, 0.000452
0.012024, 0.000458
0.0121242, 0.00046
0.0122244, 0.00048
0.0123246, 0.000474
0.0124248, 0.000488
0.012525, 0.00048
0.0126253, 0.0005
0.0127255, 0.00052
0.0128257, 0.000524
0.0129259, 0.000542
0.0130261, 0.000534
0.0131263, 0.000554
0.0132265, 0.000566
0.0133267, 0.000562
0.0134269, 0.000576
0.0135271, 0.000576
0.0136273, 0.000586
0.0137275, 0.00059
0.0138277, 0.000608
0.0139279, 0.000606
0.0140281, 0.000614
0.0141283, 0.000626
0.0142285, 0.00064
0.0143287, 0.000646
0.0144289, 0.000656
0.0145291, 0.000674
0.0146293, 0.00068
0.0147295, 0.000686
0.0148297, 0.000702
0.0149299, 0.000702
0.0150301, 0.000704
0.0151303, 0.000698
0.0152305, 0.000722
0.0153307, 0.000742
0.0154309, 0.000738
0.0155311, 0.00075
0.0156313, 0.000766
0.0157315, 0.000774
0.0158317, 0.000786
0.0159319, 0.000793999
0.0160321, 0.000811999
0.0161323, 0.000821999
0.0162325, 0.000823999
0.0163327, 0.000821999
0.0164329, 0.000839999
0.0165331, 0.000853999
0.0166333, 0.000861999
0.0167335, 0.000869999
0.0168337, 0.000883999
0.0169339, 0.000885999
0.0170341, 0.000905999
0.0171343, 0.000918
0.0172345, 0.00093
0.0173347, 0.000936
0.0174349, 0.000942
0.0175351, 0.000956
0.0176353, 0.000964
0.0177355, 0.00098
0.0178357, 0.000992
0.0179359, 0.001006
0.0180361, 0.001014
0.0181363, 0.001016
0.0182365, 0.001046
0.0183367, 0.001056
0.0184369, 0.00106
0.0185371, 0.001064
0.0186373, 0.001092
0.0187375, 0.0011
0.0188377, 0.00111
0.0189379, 0.001122
0.0190381, 0.001134
0.0191383, 0.001142
0.0192385, 0.001174
0.0193387, 0.001194
0.0194389, 0.001184
0.0195391, 0.0012
0.0196393, 0.001218
0.0197395, 0.00125
0.0198397, 0.001226
0.0199399, 0.001262
0.0200401, 0.001296
0.0201403, 0.00129
0.0202405, 0.001304
0.0203407, 0.001336
0.0204409, 0.00132
0.0205411, 0.001358
0.0206413, 0.001374
0.0207415, 0.001388
0.0208417, 0.001412
0.0209419, 0.001416
0.0210421, 0.001444
0.0211423, 0.001444
0.0212425, 0.00149
0.0213427, 0.00149
0.0214429, 0.00149
0.0215431, 0.001546
0.0216433, 0.00155
0.0217435, 0.00157
0.0218437, 0.00159
0.0219439, 0.001602
0.0220441, 0.001644
0.0221443, 0.001652
0.0222445, 0.001678
0.0223447, 0.001708
0.0224449, 0.001728
0.0225451, 0.001756
0.0226453, 0.001766
0.0227455, 0.00182
0.0228457, 0.001832
0.0229459, 0.001846
0.0230461, 0.001886
0.0231463, 0.001924
0.0232465, 0.001934
0.0233467, 0.001996
0.0234469, 0.001994
0.0235471, 0.002056
0.0236473, 0.002086
0.0237475, 0.002122
0.0238477, 0.002162
0.0239479, 0.002198
0.0240481, 0.00225
0.0241483, 0.002282
0.0242485, 0.002322
0.0243487, 0.002398
0.0244489, 0.002424
0.0245491, 0.002512
0.0246493, 0.00255
0.0247495, 0.002594
0.0248497, 0.002684
0.0249499, 0.002716
0.0250501, 0.002832
0.0251503, 0.002872
0.0252505, 0.002946
0.0253507, 0.00307
0.0254509, 0.003124
0.0255511, 0.003252
0.0256513, 0.003362
0.0257515, 0.003474
0.0258517, 0.003624
0.0259519, 0.003718
0.0260521, 0.003882
0.0261523, 0.00403
0.0262525, 0.004234
0.0263527, 0.004418
0.0264529, 0.004626
0.0265531, 0.004876
0.0266533, 0.005102
0.0267535, 0.005436
0.0268537, 0.00573
0.0269539, 0.006086
0.0270541, 0.006528
0.0271543, 0.006934
0.0272545, 0.007502
0.0273547, 0.00807
0.0274549, 0.008738
0.0275551, 0.009532
0.0276553, 0.010398
0.0277555, 0.011466
0.0278557, 0.012658
0.0279559, 0.014048
0.0280561, 0.015778
0.0281563, 0.017754
0.0282565, 0.020232
0.0283567, 0.023104
0.0284569, 0.02671
0.0285571, 0.03106
0.0286573, 0.036504
0.0287575, 0.043438
0.0288577, 0.052404
0.0289579, 0.063948
0.0290581, 0.079452
0.0291583, 0.099844
0.0292585, 0.12803
0.0293587, 0.16788
0.0294589, 0.226396
0.0295591, 0.315996
0.0296593, 0.458688
0.0297595, 0.702828
0.0298597, 1.13302
0.0299599, 2.04351
0.0300601, 4.39939
0.0301603, 13.642
0.0302605, 45.0851
0.0303607, 106.713
0.0304609, 176.743
0.0305611, 213.576
0.0306613, 189.706
0.0307615, 121.873
0.0308617, 57.8151
0.0309619, 21.9439
0.0310621, 8.83476
0.0311623, 4.14273
0.0312625, 1.94708
0.0313627, 1.19628
0.0314629, 0.86353
0.0315631, 0.465079
0.0316633, 0.329525
0.0317635, 0.327166
0.0318637, 0.267148
0.0319639, 0.288026
0.0320641, 0.128172
0.0321643, 0.133317
0.0322645, 0.163802
0.0323647, 0.0454856
0.0324649, 0.0899428
0.0325651, 0.0481295
0.0326653, 0.153753
0.0327655, 0.243236
0.0328657, 0.233954
0.0329659, 0.531335
0.0330661, 1.65757
0.0331663, 4.56918
0.0332665, 8.92881
0.0333667, 12.5652
0.0334669, 13.0197
0.0335671, 10.8613
0.0336673, 7.26756
0.0337675, 4.09288
0.0338677, 2.05863
0.0339679, 1.03546
0.0340681, 0.516669
0.0341683, 0.292101
0.0342685, 0.147068
0.0343687, 0.086778
0.0344689, 0.055906
0.0345691, 0.037474
0.0346693, 0.0262
0.0347695, 0.018528
0.0348697, 0.013318
0.0349699, 0.009806
0.0350701, 0.006898
0.0351703, 0.005174
0.0352705, 0.003674
0.0353707, 0.002712
0.0354709, 0.00197
0.0355711, 0.001312
0.0356713, 0.001024
0.0357715, 0.00061
0.0358717, 0.000514
0.0359719, 0.000356
0.0360721, 0.000312
0.0361723, 0.000288
0.0362725, 0.000364
0.0363727, 0.000372
0.0364729, 0.000592
0.0365731, 0.000618
0.0366733, 0.000868
0.0367735, 0.00102
0.0368737, 0.001308
0.0369739, 0.001548
0.0370741, 0.001832
0.0371743, 0.00217
0.0372746, 0.002558
0.0373747, 0.002944
0.0374749, 0.00346
0.0375752, 0.003932
0.0376754, 0.0046
0.0377756, 0.005268
0.0378758, 0.006048
